,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5057083702270804,0.779131148400791,1.0,0.7027469515738075,0.8682736400219254,0.5057620679832207,0.4923706816319017,0.3032537456794466,0.16639311303010015,0.2746622486725964,0.0,0.3424706418329328,0.1665016089273098,0.5097893122799873,0.5288591373599195,0.7138361578260507,0.8581624394402639
arousal,0.5013188038592646,0.4972572363771468,0.517069769417482,0.6539808838152127,0.8424473056230365,0.7698094880839856,1.0,0.6532807997334769,0.8414995309743707,0.5093612193335794,0.48942141223540225,0.29824042463579514,0.1578106200912873,0.25017873126136425,0.0,0.33611916986813556,0.15301494177992284
sliderThetaSub,0.5555555555555556,0.33333333333333337,0.6111111111111112,0.7777777777777779,0.7777777777777779,0.2777777777777778,0.0,0.16666666666666669,0.2222222222222222,0.5555555555555556,0.6666666666666667,0.5555555555555556,1.0,0.7222222222222222,1.0,0.9444444444444445,0.7777777777777779
sliderVertexNum,0.35,0.25,0.3,0.3,0.3,0.3,1.0,0.2,0.3,0.1,0.05,0.15,0.0,0.0,0.0,0.0,0.0
sliderLengthCoefficient,0.0,0.09090909090909088,0.818181818181818,0.36363636363636365,0.818181818181818,0.818181818181818,1.0,0.818181818181818,1.0,0.9090909090909091,0.818181818181818,0.818181818181818,0.45454545454545453,0.18181818181818177,0.0,0.0,0.7272727272727273
sliderAmplitude,0.30769230769230765,0.23076923076923075,0.23076923076923075,0.7692307692307692,0.7692307692307692,0.8461538461538461,1.0,0.6923076923076924,1.0,0.46153846153846156,0.30769230769230765,0.6153846153846154,0.0769230769230769,0.0769230769230769,0.0,0.23076923076923075,0.3846153846153846
sliderThetaBeat,0.1875,0.25,0.8125,0.375,0.375,0.5625,1.0,0.3125,0.6875,0.3125,0.25,0.0625,0.1875,0.1875,0.0,0.5,0.0
sliderHue,0.5882352941176471,0.058823529411764705,0.9411764705882353,1.0,0.08823529411764706,0.058823529411764705,0.0,0.7647058823529411,0.08823529411764706,0.9705882352941176,0.14705882352941177,0.6764705882352942,0.8529411764705882,0.6176470588235294,0.5882352941176471,0.4117647058823529,0.5
