,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5135841221734596,0.760200715316325,1.0,0.6615541816381428,0.846977617621682,0.5012533054636868,0.48120316288724296,0.3409524292892308,0.15187990640604823,0.2205517237093284,0.0,0.320401327053686,0.1503759398496241,0.49677750824229605,0.4931763214345272,0.6951003006897324,0.8556642674325987
arousal,0.4943948028859899,0.5025129920178556,0.5223134869957075,0.6892313420507672,0.8742808423931806,0.7582362053948393,1.0,0.7054677203144986,0.8718908532409593,0.504988050054239,0.48023745434701337,0.3117352916957978,0.13372892009621332,0.2638291277946072,0.0,0.3004440889323505,0.14855268332925026
sliderThetaSub,0.4736842105263157,0.4736842105263157,1.0,0.6842105263157895,0.8421052631578947,0.3157894736842105,0.5263157894736842,0.21052631578947364,0.0,0.2631578947368421,0.4736842105263157,0.21052631578947364,0.0,0.7368421052631579,0.4210526315789473,0.6315789473684209,0.7368421052631579
sliderVertexNum,0.0,0.0,1.0,0.4,0.75,0.15,0.45,0.25,0.55,0.3,0.5,0.15,0.25,0.0,0.0,0.3,0.5
sliderLengthCoefficient,0.0,0.5,0.6875,1.0,0.8749999999999999,0.6875,0.18749999999999997,0.43749999999999994,0.6875,0.7499999999999999,0.625,0.37499999999999994,0.25,0.125,0.0,0.8749999999999999,0.125
sliderAmplitude,0.5000000000000001,0.28571428571428575,0.6428571428571429,1.0,1.0,0.6428571428571429,0.7857142857142857,0.4285714285714286,0.9285714285714285,0.35714285714285715,0.5714285714285715,0.28571428571428575,0.28571428571428575,0.14285714285714285,0.0,1.0,0.14285714285714285
sliderThetaBeat,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,1.0,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.23529411764705882
sliderHue,0.5,0.8333333333333334,0.05555555555555555,0.8888888888888888,1.0,0.8611111111111112,0.8611111111111112,0.8055555555555556,0.16666666666666666,0.0,1.0,0.3333333333333333,0.0,0.2777777777777778,0.3888888888888889,0.8055555555555556,0.8055555555555556
