,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.49677983224036015,0.7361110605626545,1.0,0.7030998566561311,0.8565823015815658,0.5009062379279453,0.4892315323236004,0.31875995335215124,0.15000465334648405,0.24065808197896685,0.0,0.2977569830093061,0.14452566281591414,0.5181233027633598,0.5043281321571198,0.6784314010940303,0.8557769346872924
arousal,0.4878217882552721,0.5040594090297633,0.5198020039998159,0.6948513879156458,0.8415842748927159,0.7557427023819876,1.0,0.6832120260448369,0.8656041409858369,0.5187867566198998,0.48018725480668406,0.32182968558992164,0.1311878225554834,0.23146044427622256,0.0,0.34115360418190466,0.16306921931982668
sliderThetaSub,0.5714285714285713,0.5714285714285713,0.8571428571428571,0.5714285714285713,1.0,0.7142857142857142,0.7142857142857142,0.0,0.0,0.1428571428571429,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142
sliderVertexNum,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,1.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0
sliderLengthCoefficient,0.5384615384615384,0.6153846153846154,0.923076923076923,0.5384615384615384,0.8461538461538461,0.4615384615384615,0.923076923076923,0.4615384615384615,1.0,0.923076923076923,0.923076923076923,0.6153846153846154,0.923076923076923,0.15384615384615385,0.0,0.5384615384615384,0.923076923076923
sliderAmplitude,0.33333333333333337,0.5,0.4166666666666667,0.5833333333333334,1.0,0.5833333333333334,1.0,0.5833333333333334,0.9166666666666667,0.33333333333333337,0.5,0.4166666666666667,0.25,0.25,0.0,0.4166666666666667,0.16666666666666669
sliderThetaBeat,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.6428571428571429,1.0,0.5714285714285714,0.8571428571428571,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.0,0.35714285714285715,0.2857142857142857
sliderHue,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.96875,0.78125,0.875,0.75,0.71875,1.0,0.5625,0.03125,0.0
