,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5001616714147711,0.7680397199951596,1.0,0.6972704040298382,0.8565016213289359,0.4764266361475338,0.5080918773573877,0.3000494295096224,0.15354836195527555,0.22272967801084173,0.0,0.33002453016328154,0.14899151494268434,0.5112561351045917,0.5123639919354013,0.6774191232722746,0.8486349456377945
arousal,0.4991032236628874,0.5097253854611822,0.5229232822471866,0.6632740960621724,0.8601293494924372,0.7519168117197091,1.0,0.6954812139985642,0.8852752123897092,0.505687215607419,0.4884511489676514,0.3431755702352683,0.1681960625285887,0.2286583768068453,0.0,0.32347701937494816,0.16342801086613074
sliderThetaSub,0.4375000000000001,0.8125,1.0,0.5,0.7500000000000001,0.4375000000000001,0.4375000000000001,0.37500000000000006,0.25,0.25,0.0,0.25,0.25,0.5625,0.6875000000000001,0.6250000000000001,0.7500000000000001
sliderVertexNum,0.0,0.3076923076923077,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.0,0.0,0.15384615384615385,0.46153846153846156,0.38461538461538464,1.0,0.23076923076923078,0.46153846153846156,0.0,0.0,0.3076923076923077,0.38461538461538464
sliderLengthCoefficient,0.05882352941176471,0.7058823529411765,0.8235294117647058,0.411764705882353,0.6470588235294117,0.0,0.05882352941176471,0.5882352941176471,0.7058823529411765,0.5882352941176471,1.0,0.5294117647058824,0.5882352941176471,0.05882352941176471,0.0,0.29411764705882354,0.6470588235294117
sliderAmplitude,0.39999999999999997,0.39999999999999997,0.3,0.6000000000000001,0.8,0.6000000000000001,1.0,0.39999999999999997,0.8,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3,0.39999999999999997,0.3,0.5,0.0
sliderThetaBeat,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.7857142857142857,0.6428571428571429,1.0,0.7142857142857143,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.0,0.21428571428571427,0.14285714285714285
sliderHue,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.5357142857142857,0.14285714285714285,0.6785714285714286,0.8214285714285714,0.7142857142857143,1.0,0.6428571428571429,0.7857142857142857,0.2857142857142857,0.5,0.0,0.0
