,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5095039549753252,0.7852262785849834,1.0,0.695979605982176,0.8517586465599373,0.5132662359070743,0.48743711887770597,0.33668353188252675,0.16316096892352505,0.2688443476432396,0.0,0.3031154354366828,0.1532661320678797,0.4901800831232753,0.5084588757849594,0.7065763957934743,0.8882409900028816
arousal,0.5076595735988348,0.5032540819015441,0.5230250807392262,0.6688358843728487,0.8443035182079467,0.750490257160308,1.0,0.708378188458938,0.8422040940558362,0.5032540819015441,0.4834830830638622,0.3006016885273697,0.13501937537152306,0.25768171688057545,0.0,0.3336424677094164,0.16279755034838903
sliderThetaSub,0.41666666666666663,0.5,1.0,0.6666666666666665,0.41666666666666663,0.24999999999999992,0.5833333333333334,0.08333333333333336,0.1666666666666667,0.24999999999999992,0.1666666666666667,0.33333333333333326,0.0,0.41666666666666663,0.1666666666666667,0.41666666666666663,0.6666666666666665
sliderVertexNum,0.1,0.1,0.0,0.3,0.1,0.1,0.2,0.7,0.7,0.9,1.0,0.5,0.9,0.1,0.0,0.1,0.0
sliderLengthCoefficient,0.0,0.14285714285714288,0.2857142857142857,0.07142857142857145,0.07142857142857145,0.14285714285714288,0.8571428571428572,0.5,0.5,0.5,1.0,0.7857142857142857,0.5,0.14285714285714288,0.07142857142857145,0.2857142857142857,0.07142857142857145
sliderAmplitude,0.49999999999999994,1.0,0.49999999999999994,0.6000000000000001,0.9000000000000001,0.8,0.49999999999999994,0.49999999999999994,0.6000000000000001,0.09999999999999998,0.39999999999999997,0.3,0.39999999999999997,0.39999999999999997,0.0,0.09999999999999998,0.8
sliderThetaBeat,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.7777777777777778,1.0,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.0,0.5555555555555556,0.1111111111111111
sliderHue,0.16129032258064516,1.0,0.3225806451612903,0.22580645161290322,0.0,0.9354838709677419,0.12903225806451613,0.5806451612903226,1.0,0.03225806451612903,0.7419354838709677,0.6774193548387096,0.5806451612903226,0.4838709677419355,0.16129032258064516,0.06451612903225806,0.967741935483871
