,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.4991061606160616,0.7672826051261842,1.0,0.6650970600791423,0.8568322783770915,0.5031784712986224,0.4842074692543881,0.3396374152340607,0.15854565867034462,0.22099742623516078,0.0,0.3077075431423739,0.1589192034875129,0.49096154951316023,0.49096154951316023,0.6938687338883143,0.8641240989770619
arousal,0.5092419644043537,0.5183373103546883,0.49320285537165653,0.6690232391765317,0.8420112899240989,0.7377995207365077,1.0,0.6662267776224469,0.8338922046171171,0.5256722749151589,0.4889974521128063,0.32479221052833673,0.12713921730400898,0.22454752645775983,0.0,0.34431792862783417,0.15403425576988075
sliderThetaSub,0.7777777777777779,0.7777777777777779,0.6666666666666667,1.0,0.8888888888888891,0.4444444444444444,1.0,0.3333333333333335,0.4444444444444444,0.0,0.11111111111111116,0.22222222222222232,0.22222222222222232,0.8888888888888891,0.8888888888888891,0.7777777777777779,0.6666666666666667
sliderVertexNum,0.0,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.7857142857142857,0.5714285714285714,0.9285714285714286,0.21428571428571427,1.0,0.7857142857142857,0.6428571428571429,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.07142857142857142
sliderLengthCoefficient,0.5,0.5,0.43749999999999994,0.43749999999999994,0.3125,0.18749999999999997,0.25,0.7499999999999999,0.8125,0.625,1.0,0.8749999999999999,0.8125,0.25,0.0,0.18749999999999997,0.3125
sliderAmplitude,0.3846153846153846,0.30769230769230765,0.30769230769230765,0.7692307692307692,0.6923076923076922,0.846153846153846,1.0,0.6923076923076922,0.7692307692307692,0.23076923076923075,0.30769230769230765,0.3846153846153846,0.15384615384615385,0.30769230769230765,0.0,0.6153846153846154,0.5384615384615384
sliderThetaBeat,0.0,0.23076923076923078,0.5384615384615384,0.7692307692307693,0.7692307692307693,0.8461538461538461,1.0,0.6923076923076923,0.8461538461538461,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.0,0.5384615384615384,0.6153846153846154
sliderHue,0.5625,0.9375,0.0625,0.9375,0.9375,0.0,0.53125,0.34375,0.6875,0.1875,0.28125,0.625,0.28125,1.0,0.78125,1.0,1.0
