,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5020076068679991,0.7747204853626531,1.0,0.6838408599578959,0.8477157892859802,0.5,0.5041624368410729,0.31725894714317626,0.15466529046550637,0.24259793632761978,0.0,0.29604058954275925,0.14985697787483912,0.504232982884547,0.5,0.7013349780615493,0.8451773694628095
arousal,0.4931257058717844,0.49911338686634404,0.47044344653239134,0.6734812082234604,0.8571430025616243,0.7535959698061198,1.0,0.6650247433667774,0.8328831531849291,0.5040409330562524,0.48029564798711705,0.29310366765762286,0.15747907260344599,0.2609253301533157,0.0,0.31725205354929764,0.12068950599281644
sliderThetaSub,0.5714285714285713,0.8571428571428571,0.8571428571428571,0.9285714285714284,0.9285714285714284,0.7857142857142857,0.9285714285714284,0.3571428571428571,0.28571428571428564,0.07142857142857145,0.0,0.28571428571428564,0.14285714285714282,0.6428571428571428,0.5714285714285713,0.7857142857142857,1.0
sliderVertexNum,0.25,0.375,1.0,0.625,0.5,0.625,0.5,0.125,0.75,0.625,0.625,0.5,0.375,0.5,0.0,0.375,0.875
sliderLengthCoefficient,0.5555555555555557,1.0,0.5555555555555557,0.7777777777777778,0.5555555555555557,0.33333333333333337,0.5555555555555557,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.6666666666666666,1.0,0.5555555555555557,0.4444444444444445,0.33333333333333337,0.7777777777777778,0.0
sliderAmplitude,0.49999999999999994,0.39999999999999997,0.49999999999999994,0.6000000000000001,0.7,0.8,0.6000000000000001,1.0,0.9000000000000001,0.0,0.3,0.39999999999999997,0.3,0.3,0.3,0.3,0.3
sliderThetaBeat,0.25,0.375,0.25,0.5,1.0,0.625,0.5,0.5,0.5,0.375,0.375,0.125,0.125,0.0,0.0,0.0,0.0
sliderHue,0.3888888888888889,0.0,0.4166666666666667,0.0,0.0,1.0,0.0,0.8333333333333334,0.8888888888888888,1.0,0.0,0.6944444444444444,0.6944444444444444,0.0,0.05555555555555555,0.0,0.0
