,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.5178278723309039,0.7795481305332098,1.0,0.6970032257284638,0.843506646152865,0.5114073301348675,0.4754557093747766,0.2954450409633051,0.1593152875661568,0.21905839180641307,0.0,0.3345616923783613,0.15444505999566888,0.5127951495249369,0.49377692629382786,0.6945135867929798,0.8588071234536848
arousal,0.49679543388774994,0.49679543388774994,0.48447819813835635,0.6695372998665821,0.8717873506937063,0.7584007019057716,1.0,0.6591359751022103,0.8422791658454142,0.49929893746737625,0.4717603980914868,0.33667111048342413,0.1536562161960825,0.21389916208963886,0.0,0.29651483712299337,0.15381503479265377
sliderThetaSub,0.3125,0.7499999999999999,1.0,0.7499999999999999,0.6250000000000001,0.375,0.43750000000000006,0.0,0.7499999999999999,0.0,0.18750000000000006,0.6875,0.06250000000000003,0.6875,0.875,0.7499999999999999,0.7499999999999999
sliderVertexNum,0.6923076923076923,0.0,0.0,0.0,0.0,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.9230769230769231,0.3076923076923077,1.0,0.8461538461538461,1.0,0.6923076923076923,0.0,0.3076923076923077,0.15384615384615385
sliderLengthCoefficient,0.6428571428571429,0.2142857142857143,0.0,0.35714285714285715,0.7857142857142858,0.6428571428571429,0.7142857142857143,0.9285714285714287,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428572,0.7142857142857143,0.5714285714285715,0.2142857142857143,0.5714285714285715,0.4285714285714286
sliderAmplitude,0.5714285714285715,0.21428571428571433,0.7857142857142857,0.8571428571428572,0.7857142857142857,0.7142857142857143,1.0,0.28571428571428575,0.7857142857142857,0.6428571428571429,0.4285714285714286,0.28571428571428575,0.07142857142857144,0.4285714285714286,0.0,0.35714285714285715,0.9285714285714285
sliderThetaBeat,0.0,0.42857142857142855,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7857142857142857,1.0,0.8571428571428571,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.14285714285714285
sliderHue,0.6111111111111112,0.8611111111111112,0.9166666666666666,1.0,0.0,1.0,1.0,0.7222222222222222,0.6944444444444444,0.6944444444444444,0.6111111111111112,0.7222222222222222,0.75,0.8611111111111112,0.8333333333333334,0.9166666666666666,0.9444444444444444
