,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.4727637580442926,0.76120567688877,1.0,0.6733665445690804,0.8567839443837273,0.4723617446023089,0.4849245218854083,0.3276027943127273,0.15135652927875892,0.22140696916754712,0.0,0.3119293062763005,0.13647896866911902,0.4798994317400074,0.5050250382258036,0.6945596049957037,0.839497314458829
arousal,0.47682375242981545,0.505310090854972,0.5086847795488889,0.6699753006151516,0.8436724298564646,0.756823608858552,1.0,0.6797263531719763,0.8512160742386493,0.5012406095420538,0.48635226952838384,0.3166946203334853,0.13930873513204198,0.26302716932333325,0.0,0.3375765478392268,0.14719592503734136
sliderThetaSub,0.368421052631579,0.368421052631579,0.0,0.10526315789473682,0.10526315789473682,0.3157894736842105,0.21052631578947364,0.6842105263157894,1.0,0.0,0.3157894736842105,0.21052631578947364,0.368421052631579,0.4210526315789473,0.05263157894736844,0.10526315789473682,0.05263157894736844
sliderVertexNum,0.17647058823529413,0.6470588235294118,0.4117647058823529,0.8235294117647058,0.9411764705882353,0.17647058823529413,1.0,0.0,0.23529411764705882,0.5294117647058824,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.0,0.0,0.47058823529411764,0.5882352941176471
sliderLengthCoefficient,0.35,0.75,0.65,1.0,0.85,0.8,1.0,0.2,0.1,0.6,0.45,0.2,0.35,0.2,0.0,0.55,0.35
sliderAmplitude,0.0,0.46153846153846156,0.07692307692307694,0.6923076923076922,0.6923076923076922,0.15384615384615385,0.846153846153846,0.30769230769230765,0.3846153846153846,0.07692307692307694,0.46153846153846156,0.07692307692307694,0.6153846153846154,0.15384615384615385,0.0,1.0,0.7692307692307692
sliderThetaBeat,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.7058823529411765,0.8235294117647058,0.9411764705882353,1.0,0.5882352941176471,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.23529411764705882,0.0,0.11764705882352941,0.17647058823529413
sliderHue,0.06666666666666667,0.6333333333333333,0.0,1.0,1.0,0.06666666666666667,0.2,0.8666666666666667,0.3333333333333333,0.7,0.8666666666666667,0.7666666666666667,0.8,0.7333333333333333,0.6666666666666666,0.43333333333333335,0.9333333333333333
