,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.4926279478095782,0.7802200245275956,1.0,0.6847418087964313,0.864889346627042,0.5052948378304039,0.4845778606394134,0.3169405857256012,0.15430721950957216,0.21435639878644241,0.0,0.2919202667014107,0.15191443467614682,0.5196065657850382,0.5071417492353223,0.6821851275083396,0.854881322422069
arousal,0.4946163264466211,0.4905334235328011,0.5145329348094494,0.6813343690838753,0.8456462466046588,0.7722538892089885,1.0,0.6514594822619146,0.8406669273191211,0.5195120483167339,0.4713101386945428,0.3027198740637089,0.1533865956045765,0.22325294262902295,0.0,0.32597487447526546,0.14856572557412132
sliderThetaSub,0.5263157894736842,0.5263157894736842,0.6842105263157894,0.8421052631578946,1.0,0.4210526315789473,0.8421052631578946,0.05263157894736844,0.05263157894736844,0.21052631578947364,0.0,0.736842105263158,0.7894736842105262,0.5263157894736842,0.5263157894736842,0.6842105263157894,0.736842105263158
sliderVertexNum,0.35294117647058826,0.23529411764705882,0.0,0.35294117647058826,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.5882352941176471,0.5882352941176471,1.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0
sliderLengthCoefficient,0.2631578947368421,0.9473684210526316,0.2105263157894737,0.7894736842105263,1.0,0.7894736842105263,1.0,0.8947368421052632,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.2105263157894737,0.10526315789473685,0.0,0.2631578947368421,0.052631578947368425
sliderAmplitude,0.38888888888888895,0.11111111111111112,0.2777777777777778,0.5000000000000001,0.8333333333333334,0.6666666666666667,1.0,0.5000000000000001,0.5000000000000001,0.22222222222222227,0.44444444444444453,0.11111111111111112,0.055555555555555566,0.055555555555555566,0.0,0.1666666666666667,0.22222222222222227
sliderThetaBeat,0.35714285714285715,0.35714285714285715,0.5,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.9285714285714286,0.6428571428571429,1.0,0.42857142857142855,0.6428571428571429,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285
sliderHue,0.3611111111111111,0.9166666666666666,0.8611111111111112,0.9166666666666666,1.0,0.0,0.0,0.9444444444444444,0.0,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.5833333333333334,0.3055555555555556,0.3333333333333333,0.9722222222222222,0.16666666666666666
