,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.49305704909808307,0.7683580650268427,1.0,0.6793841098954875,0.8377114976159292,0.47462671146266194,0.48258687619897483,0.30819332871391764,0.14879521664305553,0.2135321464039494,0.0,0.30736317037213706,0.14676582646760686,0.5039095060583568,0.4909451005750967,0.691541945870592,0.8532336595024602
arousal,0.49857337848350525,0.5145096249685988,0.5147057304117404,0.6644024051279143,0.8481373021725566,0.7798037730038978,1.0,0.6651914864306379,0.8435886890918373,0.4984312020372277,0.4803919880391887,0.32156835733329014,0.1372545643136715,0.23654408725881867,0.0,0.33333316450977696,0.16911764705882357
sliderThetaSub,0.5,1.0,1.0,0.75,0.6499999999999999,0.44999999999999996,0.15000000000000002,0.05000000000000002,0.6499999999999999,0.19999999999999998,0.0,0.35000000000000003,0.25,0.5,0.44999999999999996,0.7000000000000001,0.44999999999999996
sliderVertexNum,0.0,0.0,0.0,0.3,0.35,0.35,0.7,0.15,0.6,0.55,1.0,0.65,0.5,0.0,0.0,0.05,0.0
sliderLengthCoefficient,0.0,0.2777777777777778,0.8333333333333333,0.38888888888888884,0.6666666666666666,0.05555555555555556,0.16666666666666666,0.7222222222222222,0.7222222222222222,0.8333333333333333,0.7777777777777777,0.2777777777777778,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0
sliderAmplitude,0.0,0.3157894736842105,0.0,0.3157894736842105,0.7368421052631579,0.6842105263157894,0.8947368421052632,0.3157894736842105,0.15789473684210528,0.3157894736842105,0.368421052631579,0.5263157894736842,0.0,0.8947368421052632,1.0,0.15789473684210528,0.0
sliderThetaBeat,0.05263157894736842,0.5789473684210527,0.8421052631578947,0.42105263157894735,0.631578947368421,0.7368421052631579,1.0,0.6842105263157895,0.8421052631578947,0.3157894736842105,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.47368421052631576,0.2631578947368421
sliderHue,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.2222222222222222,0.1388888888888889,0.0,0.0,1.0,1.0,0.5833333333333334,0.6388888888888888,0.6111111111111112,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.1388888888888889,0.5
