valence,arousal,userValence,userArousal
-0.1771849353073927,-0.51251321446313,-0.078,-0.147
0.30689420413525537,0.9167436326519094,-0.839,0.892
0.10247733612100347,0.5700815221379149,-0.262,0.627
0.13419010648098093,0.007272501105586794,0.171,0.09
0.11209105625164197,-0.8762834208771061,0.0,-0.925
0.02864918677329637,-0.49691469812082273,0.112,-0.597
0.3843728561487081,0.15960919082115338,0.028,0.444
-0.1151734437192505,0.609572558101811,-0.344,0.558
0.4733702573618729,0.18525174395976504,0.237,0.321
0.35173292441396287,0.9049265203242324,-0.677,0.849
0.17399023845975428,0.867382973233631,-0.698,0.73
0.5851917897288836,-0.5511865988581082,0.378,-0.753
-0.20589097672260043,-0.04212183451798157,0.392,-0.101
0.004690507239131861,-0.482312184081554,0.23,-0.422
0.8561023531430069,-0.42971879569812327,0.365,-0.169
0.5631604614769863,0.268225870898216,0.252,0.383
0.7428615887286942,0.6684385998647208,-0.659,0.891
-0.36615830523674303,0.8798206541696061,-0.748,0.925
-0.7885073313098088,-0.5580956639323436,-0.439,-0.612
0.2509816911971758,0.9216386085032979,-0.553,0.775
-0.09760316365582078,-0.5279042958392561,0.337,-0.571
-0.0622162500839128,-0.9526386738517689,0.39,-0.822
0.18286941682647953,0.39607832500292095,0.274,0.588
0.4278694358921122,-0.2798126382124079,0.486,-0.218
0.44957004587046756,0.2954421042477293,-0.346,0.526
-0.07070827843790482,-0.1944483183696306,0.387,-0.009
0.09053876958945824,-0.5986705440298167,0.437,-0.402
0.02860095037052275,-0.943929169318387,-0.057,-0.636
-0.3627720182326217,-0.7201651428825082,-0.133,-0.363
0.0871989567359076,0.8828669603901151,-0.566,0.861
-0.11629671364724779,0.3218337041984139,-0.207,0.379
0.06218657488583477,0.6321949587638049,-0.635,0.714
-0.1235745875214261,-0.3024740993132757,0.217,-0.157
0.29774537686826225,0.3522170635563646,-0.194,0.24
-0.7693476481516859,-0.3920612727476838,-0.226,-0.226
-0.005891467201987403,-0.8378210364318818,-0.114,-0.973
0.7770569908073826,0.35768684272059187,0.869,0.87
0.3928349208493182,0.46661537835562245,0.096,0.822
-0.5984336589109837,-0.4835022245521754,-0.344,-0.451
0.13570711310625705,0.7548194772975103,-0.169,1.0
0.6686426430511294,0.13472234522292242,0.411,0.271
-0.7886738030451786,0.4393511210521495,-0.812,0.741
-0.03981283889694983,0.6071843176213667,-0.179,0.663
-0.7712204370676229,-0.2505924625218537,-0.31,-0.315
0.48985719329435057,-0.08376757461161556,0.255,0.138
-0.6626529223827902,0.6440571544939565,-0.893,0.829
0.5364121039096318,-0.5146524124655345,-0.104,-0.717
-0.40315666987187926,-0.46583665002451724,-0.198,-0.568
0.08483998289140215,-0.48904886279625026,0.0,-0.678
-0.6832404015877763,0.5322586447125442,-0.884,0.928
-0.5457466987075896,-0.10551284847013435,-0.145,0.0
-0.024390842141298167,-0.9037371314562105,-0.203,-0.844
0.18934856702834207,0.5197828279948304,-0.158,0.529
-0.45932790999646445,-0.461616481578216,-0.125,0.113
-0.0542986268227699,-0.18130222945189783,0.315,0.256
0.3639241494872354,0.6225246767348857,-0.294,0.726
0.20272112114923266,-0.33427216149826666,0.237,-0.513
0.4139684128313247,-0.014327100019155258,0.375,0.346
-0.8246467617981315,0.5408385480957444,-0.696,0.615
0.7134734451601017,-0.22443912338987868,0.254,0.278
0.5354451894835318,-0.21535213978001386,0.212,0.255
0.24911496996640203,-0.8031363768564048,-0.128,-0.587
-0.5605761522623116,-0.595841224009737,-0.387,-0.357
-0.7422206946056464,-0.21952584704784545,-0.237,0.203
-0.7173977702608505,0.45190041025269256,-0.534,0.631
-0.23495508417791275,0.7212570570287784,-0.861,0.883
-0.48268887812813943,0.28346863750939816,-0.501,0.479
0.6514555368699733,-0.34233308484550834,0.475,-0.211
-0.25000921102871426,-0.7413095646559429,-0.004,-0.773
0.6198763613712961,-0.3181656414819794,-0.159,-0.79
-0.6554300144145822,-0.557908260294299,-0.366,0.146
0.7356823177871553,-0.011766360801672699,0.042,-0.145
0.29879538073837353,-0.42168461300234844,-0.228,-0.049
-0.1234870144396514,0.5806024263624733,-0.192,0.88
0.4913806647020969,-0.7405218221430306,-0.273,-0.271
0.2702757030327286,0.7849533467475431,-0.543,0.874
-0.2709092230370507,-0.41625365044818974,-0.07,-0.316
0.6611334174361123,-0.6428146941934587,-0.106,-0.422
0.4725167943328883,-0.4843131874050764,-0.055,-0.535
-0.890429042230397,0.2826839818014748,-0.336,0.711
-0.6294540731767647,0.36852225630485436,-0.311,0.543
-0.2922436581211753,-0.8486806944118994,-0.007,-0.843
-0.29603484565085425,0.8359154902604478,-0.394,0.726
-0.6860271726702916,0.19374785778848408,-0.226,0.503
0.44440752756587704,-0.09225216166620927,0.2,0.189
0.010151696139890242,0.47952209696897496,-0.49,0.11
0.02382243267420696,0.37607416388809783,-0.305,0.106
0.46476828155092886,0.863000051118141,-0.497,0.249
0.522231958562919,-0.23918943093686823,0.109,-0.48
-0.2740921155019759,0.7795877249783811,-0.865,0.76
0.1448879935346355,-0.17720599108565932,0.101,-0.315
-0.10114569943418592,-0.8333165081599796,-0.094,-0.885
0.25790363466979627,-0.4746121081784516,-0.193,-0.338
-0.22803583325918572,0.57137144964823,-0.683,0.751
-0.198862818328451,0.8130019586099361,-0.93,0.728
-0.7999362433724039,-0.03115524569698848,-0.42,-0.091
-0.029233224107467835,-0.16591423799156807,0.106,-0.044
-0.4637263523175585,-0.6535696196854313,-0.077,-0.664
0.10417120372108064,-0.32428311658167747,0.061,0.061
-0.07352925274201329,0.4319927555074283,-0.433,0.209
-0.6783555989637017,-0.0676399351669931,-0.27,0.135
0.8665361294197406,-0.24396392524498361,0.255,0.176
0.24558708495164217,0.7519960381818555,0.482,0.272
0.6692159648632278,-0.00507967037005375,0.199,-0.495
0.7881996506213977,0.5905527390542344,0.866,0.671
0.9043679329102507,-0.1996651389785334,-0.312,-0.502
-0.03228422485641233,-0.853665150246691,-0.393,-0.94
-0.7850996246295441,-0.36352473713198563,-0.905,0.213
-0.032124208677116656,0.15605699359263941,0.846,0.299
0.706686866362989,-0.6203671628880109,-0.439,-0.692
